D_foul1 (m),D_foul2 (m),D_foul3 (m),mfr1 (kg/s),mfr2 (kg/s),Inner inlet temperature (K),Inner outlet temperature (K),Outer inlet temperature (K),Outer outlet temperature (K),Inner Pressure Drop (Pa),Outer Pressure Drop (Pa)
7.93E-04,7.50E-05,4.62E-04,0.203,1.637,355.51,330.63,301.18,304.07,43.196,53.679
4.03E-04,2.48E-04,4.57E-04,0.505,1.843,365.41,346.4,302.6,307.39,167.18,67.149
0.001029,4.64E-04,5.85E-04,0.64,0.623,363.1,353.72,293.1,301.84,278.64,10.017
0.00108,9.38E-04,0.001356,1.962,2.227,348.75,345.89,306.52,308.79,2087.6,109.19
0.001146,4.03E-04,0.001075,0.267,2.112,362.67,340.38,304.64,307.24,75.606,93.63
2.05E-04,8.79E-04,0.001114,0.548,1.473,344.13,335.64,298.6,301.57,195.37,49.463
4.33E-04,4.70E-04,8.76E-04,0.921,1.158,342.41,336.31,292.14,296.66,493.12,30.061
0.001096,0.001177,0.001331,1.968,1.049,356.7,353.78,296.16,300.87,2070.4,27.128
6.93E-04,5.05E-04,7.29E-04,0.991,0.77,368.97,360.83,291.24,300.62,552.48,14.489
9.80E-04,3.27E-04,9.19E-04,1.996,2.408,359.31,353.84,304.38,308.48,2069.7,115.26
4.66E-04,6.40E-05,0.001258,1.7,0.902,351.88,348,309.38,315.96,1423.6,18.294
4.21E-04,0.001105,5.05E-04,0.144,2.273,343.27,321.55,291.2,292.52,21.472,109.84
7.92E-04,5.10E-05,0.001279,1.238,2.135,369.9,357.31,302.74,309.31,838.83,94.192
1.79E-04,6.70E-05,3.86E-04,1.59,1.37,360.89,352.63,295.3,303.99,1178.5,37.344
0.001044,0.001131,9.60E-04,1.892,1.555,360.56,357.28,306.86,310.33,1895.3,53.909
8.25E-04,7.02E-04,0.001345,0.583,1.383,340.1,334.29,307.98,310.27,245.06,43.931
3.90E-04,9.49E-04,0.001191,0.622,1.024,365.64,355.02,295.08,300.9,233.16,25.201
8.30E-04,1.99E-04,2.24E-04,0.887,1.225,355.05,346.46,298.72,304.36,483.2,30.108
0.001153,5.73E-04,0.001125,0.59,2.408,365.15,351.66,306.08,309.09,248.51,119.31
2.88E-04,5.44E-04,0.001332,0.545,0.425,362.28,352.69,290.94,302.17,183.74,5.9595
